Variable Name,Cohort/Measure in Featured Downloads Datafiles,Merged file Drawn From (MergedXXXX_YY_PP.csv),,
SATVR75,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
SATMT25,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
SATMT75,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
SATWR25,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
SATWR75,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
SATVRMID,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
SATMTMID,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
SATWRMID,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
ACTCM25,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTCM75,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTEN25,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTEN75,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTMT25,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTMT75,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTWR25,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
ACTWR75,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
ACTCMMID,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTENMID,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTMTMID,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
ACTWRMID,"Fall 2015, reported in IPEDS DCY2015-16",2015_16,,
SAT_AVG,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
SAT_AVG_ALL,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
PCIP01,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP03,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP04,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP05,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP09,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP10,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP11,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP12,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP13,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP14,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP15,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP16,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP19,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP22,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP23,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP24,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP25,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP26,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP27,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP29,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP30,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP31,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP38,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP39,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP40,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP41,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP42,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP43,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP44,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP45,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP46,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP47,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP48,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP49,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP50,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP51,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP52,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
PCIP54,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP01CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP01CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP01ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP01CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP01BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP03CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP03CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP03ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP03CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP03BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP04CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP04CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP04ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP04CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP04BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP05CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP05CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP05ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP05CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP05BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP09CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP09CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP09ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP09CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP09BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP10CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP10CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP10ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP10CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP10BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP11CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP11CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP11ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP11CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP11BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP12CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP12CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP12ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP12CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP12BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP13CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP13CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP13ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP13CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP13BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP14CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP14CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP14ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP14CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP14BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP15CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP15CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP15ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP15CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP15BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP16CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP16CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP16ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP16CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP16BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP19CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP19CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP19ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP19CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP19BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP22CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP22CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP22ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP22CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP22BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP23CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP23CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP23ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP23CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP23BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP24CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP24CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP24ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP24CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP24BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP25CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP25CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP25ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP25CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP25BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP26CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP26CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP26ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP26CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP26BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP27CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP27CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP27ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP27CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP27BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP29CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP29CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP29ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP29CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP29BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP30CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP30CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP30ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP30CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP30BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP31CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP31CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP31ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP31CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP31BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP38CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP38CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP38ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP38CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP38BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP39CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP39CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP39ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP39CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP39BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP40CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP40CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP40ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP40CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP40BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP41CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP41CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP41ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP41CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP41BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP42CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP42CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP42ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP42CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP42BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP43CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP43CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP43ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP43CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP43BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP44CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP44CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP44ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP44CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP44BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP45CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP45CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP45ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP45CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP45BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP46CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP46CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP46ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP46CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP46BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP47CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP47CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP47ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP47CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP47BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP48CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP48CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP48ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP48CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP48BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP49CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP49CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP49ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP49CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP49BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP50CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP50CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP50ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP50CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP50BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP51CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP51CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP51ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP51CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP51BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP52CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP52CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP52ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP52CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP52BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP54CERT1,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP54CERT2,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP54ASSOC,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP54CERT4,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
CIP54BACHL,"AY2015-16, reported in IPEDS DCY2016-17",2016_17,,
DISTANCEONLY,"AcadYr 2016-17, reported in IPEDS DCY2016-17",2016_17,,
UGDS,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UG,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
UGDS_WHITE,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_BLACK,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_HISP,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_ASIAN,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_AIAN,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_NHPI,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_2MOR,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_NRA,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_UNKN,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
UGDS_WHITENH,"Fall 2009, reported in IPEDS DCY2009-10",2009_10,,
UGDS_BLACKNH,"Fall 2009, reported in IPEDS DCY2009-10",2009_10,,
UGDS_API,"Fall 2009, reported in IPEDS DCY2009-10",2009_10,,
UGDS_AIANOLD,"Fall 2009, reported in IPEDS DCY2009-10",2009_10,,
UGDS_HISPOLD,"Fall 2009, reported in IPEDS DCY2009-10",2009_10,,
UG_NRA,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
UG_UNKN,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
UG_WHITENH,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
UG_BLACKNH,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
UG_API,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
UG_AIANOLD,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
UG_HISPOLD,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
PPTUG_EF,"Fall 2016, reported in IPEDS DCY2016-17",2016_17,,
PPTUG_EF2,"Fall 2000, reported in IPEDS DCY2000-01",2000_01,,
CURROPER,"PEPS as of October 5, 2018",2016_17,,
NPT4_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT4_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT4_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT41_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT42_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT43_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT44_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT45_PUB,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT41_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT42_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT43_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT44_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT45_PRIV,"AcadYr 2015-16, reported in IPEDS DCY2016-17",2016_17,,
NPT41_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT42_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT43_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT44_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT45_PROG,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT41_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
NPT42_OTHER,"AcadYr 2009-10, reported in IPEDS DCY2010-11",2010_11,,
